"tracking_id","employee_id","date","total_work_time","total_break_time","start_time","end_time","break_start_time","break_end_time","updated_at","shift_status","login_count","total_idle_time","idle_start_time","break_status"
14,5,"2024-12-24","01:02:16.443919","00:00:06.24517","2024-12-24 11:49:24.799957-08",NULL,NULL,NULL,"2024-12-24 12:51:41.243876-08",True,1,"00:00:00",NULL,False
15,5,"2024-12-26","00:00:27.078127","00:00:03.282912","2024-12-26 07:57:16.323149-08","2024-12-26 07:57:43.401276-08",NULL,NULL,"2024-12-26 07:57:43.401276-08",True,1,"00:00:00",NULL,False
16,5,"2024-12-26","00:00:00","00:00:00","2024-12-26 12:50:16.110077-08",NULL,NULL,NULL,"2024-12-26 12:50:16.110077-08",False,1,"00:00:00",NULL,False
17,5,"2024-12-26","00:00:00","00:00:00","2024-12-26 15:05:48.210588-08",NULL,NULL,NULL,"2024-12-26 15:05:48.210588-08",False,1,"00:00:00",NULL,False
24,5,"2024-12-27","02:58:14.221335","00:00:41.430893","2024-12-27 11:26:51.757287-08","2024-12-27 14:25:05.978622-08",NULL,NULL,"2024-12-27 14:25:05.978622-08",True,1,"01:45:05.144543",NULL,False
25,5,"2024-12-28","00:00:00.241887","00:00:00","2024-12-27 16:11:51.459218-08","2024-12-27 16:11:51.701105-08",NULL,NULL,"2024-12-27 16:11:51.701105-08",True,1,"00:00:00",NULL,False
26,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 08:59:03.325944-08",NULL,NULL,NULL,"2024-12-30 08:59:03.325944-08",False,1,"00:00:00",NULL,False
27,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 11:46:38.050173-08",NULL,NULL,NULL,"2024-12-30 11:46:38.050173-08",False,1,"00:00:00",NULL,False
28,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 12:04:26.950191-08",NULL,NULL,NULL,"2024-12-30 12:04:26.950191-08",False,1,"00:00:00",NULL,False
29,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 12:23:54.980516-08",NULL,NULL,NULL,"2024-12-30 12:23:54.980516-08",False,1,"00:00:00",NULL,False
30,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 12:55:01.787334-08",NULL,NULL,NULL,"2024-12-30 12:55:01.787334-08",False,1,"00:00:00",NULL,False
31,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 13:37:40.182479-08",NULL,NULL,NULL,"2024-12-30 13:37:40.182479-08",False,1,"00:00:00",NULL,False
32,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 14:19:07.161919-08",NULL,NULL,NULL,"2024-12-30 14:19:07.161919-08",False,1,"00:00:00",NULL,False
33,5,"2024-12-30","00:00:00","00:00:00","2024-12-30 14:21:21.845773-08",NULL,NULL,NULL,"2024-12-30 14:21:21.845773-08",False,1,"00:00:00",NULL,False
34,5,"2025-01-02","00:00:00","00:00:00","2025-01-02 07:32:33.015356-08",NULL,NULL,NULL,"2025-01-02 07:32:33.015356-08",False,1,"00:00:00",NULL,False
35,5,"2025-01-03","00:00:00","00:00:00","2025-01-03 08:00:18.037446-08",NULL,NULL,NULL,"2025-01-03 08:00:18.037446-08",False,1,"00:00:00",NULL,False
